uncertaincheck,casrn,name,average_mass,endpoint,new_rfc,source,subsource,type,duration,species,dxw,daf,pod_hec,interspecies,intraspecies,subtochronic,loaectonoaec,allufs,toxval_numeric,toxval_units,value_ppb,toxicological_effect,study_type,source_url,subsource_url,entry_modified_br,additional_notes_br,long_ref,
,100-41-4,Ethylbenzene,106,aural,2073,PPRTV (CPHEA),PPRTV Summary,RfCp,subchronic,human,,,,,,,,,9,mg/m3,2073,Histopathological evidence of ototoxicity without functional changes in male rats,Toxicity Value,https://www.epa.gov/pprtv/basic-information-about-provisional-peer-reviewed-toxicity-values-pprtvs,https://cfpub.epa.gov/ncea/pprtv/chemicalLanding.cfm?pprtv_sub_id=1746,,.,.,
,100-41-4,Ethylbenzene,106,developmental,230,IRIS,IRIS Summary,RfC,chronic,human,,,,,,,,,1,mg/m3,230,Developmental toxicity in male/female rabbits/rats,Toxicity Value,https://www.epa.gov/iris,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=51,,.,.,
,100-41-4,Ethylbenzene,106,endocrine,461,Cal OEHHA,Cal OEHHA Export,REL,chronic,human,,,,,,,,,2,mg/m3,461,Alimentary system (liver); kidney; endocrine system; development,,https://oehha.ca.gov/chemicals,https://oehha.ca.gov/chemicals/ethylbenzene,,,,
,100-41-4,Ethylbenzene,106,hepatic,83,Health Canada,.,NOAEC,subchronic,rat,0,1,24987,3,10,10,1,300,434,mg/m3,99948,"increased relative liver, kidney, and spleen weights of dams|reduced litter size|skeletal variations",developmental,https://publications.gc.ca/site/eng/9.694269/publication.html,.,,.,.,
,100-41-4,Ethylbenzene,106,immunological,69,"Health Canada, ATSDR Tox Profile (added ref from old metdb)",NIOSH 1981,NOAEC,subchronic,rat,0,1,20823,3,10,10,1,300,434,mg/m3,99948,"increased relative liver, kidney, and spleen weights of dams|reduced litter size|skeletal variations",developmental,https://publications.gc.ca/site/eng/9.694269/publication.html,.,1,.,.,
,100-41-4,Ethylbenzene,106,musculoskeletal,59,Health Canada,.,NOAEC,subchronic,rat,0,1,17848,3,10,10,1,300,434,mg/m3,99948,"increased relative liver, kidney, and spleen weights of dams|reduced litter size|skeletal variations",developmental,https://publications.gc.ca/site/eng/9.694269/publication.html,.,,.,.,
,100-41-4,Ethylbenzene,106,neurological,2000,ATSDR,ATSDR MRLs 2025,MRL,subchronic,human,,,,,,,,,2,ppm,2000,,,,,,Final,,
,100-41-4,Ethylbenzene,106,renal,60,ATSDR,ATSDR MRLs 2025,MRL,chronic,human,,,,,,,,,0,ppm,60,,,,,,Final,,
,100-41-4,Ethylbenzene,106,reproductive,60,ECHA IUCLID,Developmental Toxicity Teratogenicity,NOAEC,.,rat,0,1,17856,3,10,10,1,300,434,mg/m3,99997,reproduction developmental,reproduction developmental,https://echa.europa.eu/,,1,could also be developmental https://chem.echa.europa.eu/100.002.591/dossier-view/e4c88c6e-06c7-4daa-b0fb-1a55459ac22f/IUC5-d869c173-c1a5-417a-a998-8c15bba459f4_8ed375af-eef5-45ed-9467-62cc5de8dc08?searchText=100-41-4,.,
,100-41-4,Ethylbenzene,106,systemic,2083,ECHA POC,TSCA POC ECHA,NOAEC,chronic,ratmouse,0,1,62500,3,10,1,1,30,,.,250000,.,.,.,.,,.,.,
,100-42-5,Styrene,104,developmental,59,Health Canada,.,LOAEC,chronic,rat,0,1,17802,3,10,1,10,300,260,mg/m3,61036,"reduced pup body weight, reduced neuroamines, neurological/behavioral changes",developmental,https://publications.gc.ca/site/eng/9.694269/publication.html,.,,.,.,
,100-42-5,Styrene,104,hematological,13,ECHA POC,TSCA POC ECHA,LOAEC,subchronic,ratmouse,0,1,39406,3,10,10,10,3000,,.,220672,.,.,.,.,,.,.,
,100-42-5,Styrene,104,hepatic,4000,ATSDR Tox Profile,Harkonen et al. 1984,NOAEC,chronic,human,,,,1,10,1,1,10,,.,40000,.,.,.,.,,.,.,
,100-42-5,Styrene,104,immunological,260,ATSDR Tox Profile,Tulkinske et al. 2000,LOAEC,chronic,human,,,,1,10,1,10,100,,.,26000,.,.,.,.,,.,.,
,100-42-5,Styrene,104,neurological,200,ATSDR,ATSDR MRLs 2025,MRL,chronic,human,,,,,,,,,0,ppm,200,,,,,,Final,,
