Code,Description
327910,Abrasive Product Manufacturing
325520,Adhesive Manufacturing
333912,Air and Gas Compressor Manufacturing
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
336412,Aircraft Engine and Engine Parts Manufacturing
336411,Aircraft Manufacturing
325199,All Other Basic Organic Chemical Manufacturing
322299,All Other Converted Paper Product Manufacturing
333248,All Other Industrial Machinery Manufacturing
325998,"All Other Miscellaneous Chemical Product and Preparation Manufacturing (except facilities previously classified under SIC 7389, Business Services, Not Elsewhere Classified)"
335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
333998,All Other Miscellaneous General Purpose Machinery Manufacturing
339999,All Other Miscellaneous Manufacturing
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing
314999,"All Other Miscellaneous Textile Product Mills (except facilities previously classified under SIC 7389, Business Services, Not Elsewhere Classified. This exception does not apply to facilities primarily engaged in solvent recovery services on a contract or fee basis.)"
321999,All Other Miscellaneous Wood Product Manufacturing
324199,All Other Petroleum and Coal Products Manufacturing
326199,All Other Plastics Product Manufacturing
513199,"All Other Publishers (except for facilities primarily engaged in web search portals and except for facilities previously classified under SIC 7331, Direct Mail Advertising Services and SIC 8999, Services Not Elsewhere Classified)"
326299,All Other Rubber Product Manufacturing
336999,All Other Transportation Equipment Manufacturing
331313,Alumina Refining and Primary Aluminum Production
331524,Aluminum Foundries (except Die-Casting)
331315,"Aluminum Sheet, Plate, and Foil Manufacturing"
332993,Ammunition (except Small Arms) Manufacturing
334516,Analytical Laboratory Instrument Manufacturing
315990,Apparel Accessories and Other Apparel Manufacturing
315120,Apparel Knitting Mills
325220,Artificial and Synthetic Fibers and Filaments Manufacturing
324121,Asphalt Paving Mixture and Block Manufacturing
324122,Asphalt Shingle and Coating Materials Manufacturing
334310,Audio and Video Equipment Manufacturing
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use"
336110,Automobile and Light Duty Motor Vehicle Manufacturing
332991,Ball and Roller Bearing Manufacturing
334412,Bare Printed Circuit Board Manufacturing
335910,Battery Manufacturing
221117,Biomass Electric Power Generation (limited to facilities that combust coal and/or oil for the purpose of generating power for distribution in commerce)
337920,Blind and Shade Manufacturing
336612,Boat Building
