"","casrn","name","average_mass","endpoint","new_rfc","rfcs_ugm","ATS_name"
"1","100-41-4","Ethylbenzene",106,"aural",2072.658,8985.75656441718,"ETHYLBENZENE"
"2","100-41-4","Ethylbenzene",106,"developmental",230.295,998.415950920245,"ETHYLBENZENE"
"3","100-41-4","Ethylbenzene",106,"endocrine",460.591,1996.83623721881,"ETHYLBENZENE"
"4","100-41-4","Ethylbenzene",106,"hepatic",83.29,361.093660531697,"ETHYLBENZENE"
"5","100-41-4","Ethylbenzene",106,"immunological",69.408,300.909938650307,"ETHYLBENZENE"
"6","100-41-4","Ethylbenzene",106,"musculoskeletal",59.493,257.924662576687,"ETHYLBENZENE"
"7","100-41-4","Ethylbenzene",106,"neurological",2000,8670.75664621677,"ETHYLBENZENE"
"8","100-41-4","Ethylbenzene",106,"renal",60,260.122699386503,"ETHYLBENZENE"
"9","100-41-4","Ethylbenzene",106,"reproductive",59.522,258.050388548057,"ETHYLBENZENE"
"10","100-41-4","Ethylbenzene",106,"systemic",2083.333,9032.03672801636,"ETHYLBENZENE"
"11","100-42-5","Styrene",104,"developmental",59.34,252.40736196319,"STYRENE"
"12","100-42-5","Styrene",104,"hematological",13.135,55.8707566462168,"STYRENE"
"13","100-42-5","Styrene",104,"hepatic",4000,17014.3149284254,"STYRENE"
"14","100-42-5","Styrene",104,"immunological",260,1105.93047034765,"STYRENE"
"15","100-42-5","Styrene",104,"neurological",200,850.715746421268,"STYRENE"
"16","100-42-5","Styrene",104,"ocular",17.886,76.079509202454,"STYRENE"
"17","100-42-5","Styrene",104,"renal",2600,11059.3047034765,"STYRENE"
"18","100-42-5","Styrene",104,"reproductive",29.345,124.821267893661,"STYRENE"
"19","100-42-5","Styrene",104,"respiratory",4600,19566.4621676892,"STYRENE"
"20","100-42-5","Styrene",104,"systemic",476.189,2025.50740286299,"STYRENE"
"21","107-06-2","1,2-Dichloroethane",99,"cardiovascular",347.222,1405.92957055215,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)"
"22","107-06-2","1,2-Dichloroethane",99,"developmental",59.524,241.017423312883,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)"
"23","107-06-2","1,2-Dichloroethane",99,"endocrine",347.222,1405.92957055215,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)"
"24","107-06-2","1,2-Dichloroethane",99,"hematological",347.222,1405.92957055215,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)"
"25","107-06-2","1,2-Dichloroethane",99,"hepatic",98.838,400.202944785276,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)"
"26","107-06-2","1,2-Dichloroethane",99,"neurological",1.73,7.00490797546012,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)"
"27","107-06-2","1,2-Dichloroethane",99,"systemic",347.222,1405.92957055215,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)"
"28","108-88-3","Toluene",92,"cardiovascular",2400,9030.67484662577,"TOLUENE"
"29","108-88-3","Toluene",92,"developmental",238.095,895.899386503068,"TOLUENE"
